Film,OscarYear,FilmStudio/Producer(s),Award,AwardBinary,YearofRelease,MovieTime,MovieGenre1,MovieGenre2,MovieGenre3,IMDBRating,IMDBVotes,MovieInfo,CriticConsensus,ContentRating,Directors,Authors,Actors,Actors2,Actors3,OriginalReleaseDate,StreamingReleaseDate,ProductionCompany,TomatometerStatus,TomatometerRating,TomatometerCount,AudienceStatus,AudienceRating,AudienceCount,TomatometerTopCriticsCount,TomatometerFreshCriticsCount,TomatometerRottenCriticsCount,FilmID
The Racket,1927,The Caddo Company,Nominee,0,1928,84,Crime,Drama,Film-Noir,6.7,1257,,,NR,Lewis Milestone,,Thomas Meighan, Louis Wolheim, Marie Prevost,,,Paramount Pictures,,100,6,,73,100,1,6,0,3111c2d8-0908-4093-8ff3-99c89f2f2f08
7th Heaven,1927,Fox,Nominee,0,1927,110,Drama,Romance,NG,7.7,3439,,,NR,Frank Borzage,,Janet Gaynor, Charles Farrell, Ben Bard,,,Frank Borzage Production,,100,9,,85,500,1,9,0,19ed3295-a878-4fd2-8e60-5cd7b5f93dad
Wings,1927,Famous Players-Lasky,Winner,1,1927,144,Drama,Romance,War,7.5,12221,"With World War I afoot, David Armstrong (Richard Arlen) and Jack Powell (Charles ""Buddy"" Rogers) join the military with an eye toward flying American fighter planes. They leave behind Mary Preston (Clara Bow), a local girl who's in love with David but committed to Jack. Dispatched to France as newly minted pilots, the men take to the skies in one of the war's climactic air battles, and as frantic Mary longs for the safe return of both men, one pays the ultimate price for his bravery.","Subsequent war epics may have borrowed heavily from the original Best Picture winner, but they've all lacked Clara Bow's luminous screen presence and William Wellman's deft direction.",PG13,William Wellman,"Hope Loring, Louis D. Lighton",Clara Bow, Charles 'Buddy' Rogers, Richard Arlen,46611,42737,Unknown,Certified-Fresh,93,46,Upright,78,3530,9,43,3,2becf7d5-a3de-46ab-ae45-abdd6b588067
Hollywood Revue,1928,Metro-Goldwyn-Mayer,Nominee,0,1929,130,Comedy,Music,NG,5.7,2004,,,NR,Charles Reisner,,John Gilbert, Norma Shearer, Joan Crawford,,,MGM,,43,7,,21,100,3,3,4,689f22d5-a700-4ce1-b9be-65652f32c186
Alibi,1928,Feature Productions,Nominee,0,1929,91,Action,Crime,Romance,5.8,765,,,NR,Roland West,,Chester Morris, Harry Stubbs, Mae Busch,,,United Artists,,50,8,,37,100,0,4,4,609887c2-877c-43a4-b88c-e40e31096a98
The Patriot,1928,Paramount Famous Lasky,Nominee,0,1928,113,Drama,History,Thriller,7.4,18,,,NR,Ernst Lubitsch,,Emil Jannings, Lewis Stone, Florence Vidor,,,Paramount Pictures,,87,8,,82,100,0,4,4,5d4ef7bd-2f81-47f3-9305-2c8fe140d4e4
In Old Arizona,1928,Fox,Nominee,0,1928,95,Western,NG,NG,5.6,1019,"In this early Western, notorious bandit the Cisco Kid (Warner Baxter) is so feared that he rarely has to fire his gun to rob a stagecoach. His ravishing girlfriend, Tonia (Dorothy Burgess), often accuses him of being unfaithful, but he assures her that he loves only her, and even composes a song in her name. When Cavalry Sgt. Mickey Dunn (Edmund Lowe) arrives with a mission to capture or kill the Mexican Robin Hood, Cisco matches wits with him and discovers an unexpected betrayal.",,NR,Irving Cummings,Tom Barry,Warner Baxter, Edmund Lowe, Dorothy Burgess,47112,42806,20th Century Fox,Rotten,56,9,Spilled,38,356,2,5,4,a0644f19-a136-44c2-ab5d-50978ef19608
The Broadway Melody,1928,Metro-Goldwyn-Mayer,Winner,1,1929,100,Drama,Musical,Romance,5.7,6890,"Vaudeville sisters ""Hank"" (Bessie Love) and Queenie Mahoney (Anita Page) take their act to the Broadway stage in New York when Eddie (Charles King), a professional song-and-dance man appearing in a new show, invites his girlfriend Hank to join him. Soon after, Eddie transfers his affections to Queenie, who attempts to do right by her sister by dating another man -- high society member Jock Warriner (Kenneth Thompson). The showbiz melodrama is quickly overshadowed by the romantic subplot.","The Broadway Melody is interesting as an example of an early Hollywood musical, but otherwise, it's essentially bereft of appeal for modern audiences.",NR,Harry Beaumont,"James Gleason, Norman Houston, Sarah Y. Mason",Anita Page, Bessie Love, Charles King,47150,42791,MGM,Rotten,33,24,Spilled,21,1813,7,8,16,de063f3f-2d35-4e1c-8636-6eb4c16bd236
Disraeli,1929,Warner Bros.,Nominee,0,1929,90,Biography,Drama,History,6.2,1143,,,NR,Alfred E. Green,,George Arliss, Doris Lloyd, David Torrence,,,Warner Bros. Pictures,,83,6,,44,250,0,5,1,831f96b0-ebf5-4e09-b47c-d39817b86092
The Love Parade,1929,Paramount Famous Lasky,Nominee,0,1929,107,Comedy,Musical,Romance,7,2163,,,NR,Ernst Lubitsch,,Maurice Chevalier, Jeanette MacDonald, Lupino Lane,,,Paramount Pictures,,100,6,,77,250,2,6,0,0dbbedb5-b8f0-4f0a-9ff7-95e75e43eca7
The Divorcee,1929,Metro-Goldwyn-Mayer,Nominee,0,1930,84,Romance,Drama,NG,6.7,2982,,,NR,Robert Z. Leonard,,Norma Shearer, Robert Montgomery, Chester Morris,,,MGM,,75,8,,63,500,0,6,2,71614648-8545-4f91-a15e-4991f0eb7f13
